daeh-CanQiQi-WuLongZuo.xml,“惨凄凄唤苍天天不应向”——《五龙祚》（李三娘）,dan,erhuan,manban,曹宝荣，编著《京剧唱腔板式解读·上册》北京：人民音乐出版社，2010；第64-66页,--
daeh-TanHongYan-HuoXiaoYu.xml,“叹红颜薄命前生就”——《霍小玉》（霍小玉）,dan,erhuang,manban,曹宝荣，编著《京剧唱腔板式解读·上册》北京：人民音乐出版社，2010；第71-73页,--
daeh-WangChunE-SanNiangJiaoZi.xml,“王春娥坐草堂自思自叹”——《三娘教子》（王春娥）,dan,erhuang,manban,曹宝荣，编著《京剧唱腔板式解读·上册》北京：人民音乐出版社，2010；第60-63页,d954b0ee-46bb-4a39-b3d6-e6e9539c3a00;cc3297a2-dd23-4f2d-a445-464ca389198d;01352f3a-a33b-4ca9-a538-7e0f43b4051b
daeh-WuDuanQiao-BiYuZan.xml,“无端巧计将人陷”——《碧玉簪》（张玉贞）,dan,erhuang,manban,曹宝荣，编著《京剧唱腔板式解读·上册》北京：人民音乐出版社，2010；第66-70页,0274ffc9-3ddf-4cb2-a772-16deb7b1d14d
daeh-ZiNaRi-ErJinGong.xml,“自那日与徐杨决裂以后”——《二进宫》（李艳妃）,dan,erhuang,manban,曹宝荣，编著《京剧唱腔板式解读·上册》北京：人民音乐出版社，2010；第54-59页,3961ff8c-2c8e-4df0-bda5-5ba7e47d7807;747b0a46-9fe5-46f4-a5c8-097b1e084cfa;00c6e5ec-71e9-421c-8bd6-af5126b56479
daeh-ZiNaRi-ZhuangYuanMei.xml,“自那日与六郎阵前相见”——《状元媒》（柴郡主）,dan,erhuang,yuanban,曹宝荣，编著《京剧唱腔板式解读·上册》北京：人民音乐出版社，2010；第24-27页,fb5cff80-c83d-40e0-9235-a88647c4ffbd;a958f261-d6c1-4d5a-9ea4-5fcbbd9d6499;0c382c91-e048-4e87-bd59-e3088b10cb5e;318bf75e-692a-4e83-bf9a-3ae04537f47a;05d0c156-8fa9-4b5f-b669-078d7a72b444
daeh-ZuoRiGong-TaiZhenWaiChuan.xml,“昨日宫中何等宠幸”——《太真外传》（杨玉环）,dan,erhuang,yuanban,曹宝荣，编著《京剧唱腔板式解读·上册》北京：人民音乐出版社，2010；第22-23页,--
daxp-DangRiLi-SuoLinNang.xml,“当日里好风光忽觉转变”——《锁麟囊》（薛湘灵）,dan,xipi,yuanban; liushui,曹宝荣，编著《京剧唱腔板式解读·下册》北京：人民音乐出版社，2010；第12-18页,a0a35183-985b-48ef-b0c9-7fd3ae555d34;61dd663f-77b8-423b-8ce9-4c40fee8b014;0d011b09-469c-49d8-ba05-52735c4c3dc0
daxp-LaoDieDie-DaYuShaJia.xml,“老爹爹清晨起前去出道”——《打渔杀家》（萧桂英）,dan,xipi,yuanban,《中国京剧流派剧目集成·第贰集》第33-37页（北京：学苑出版社，2006）,--
daxp-LaoDieDie-SanJiZhang.xml,“老爹爹请息怒容儿细讲”——《三击掌》（王宝钏）,dan,xipi,manban,《京剧曲谱集成·第十集》第100-102页（上海：上海文艺出版社，1998）,--
daxp-LaoDieDie-YuZhouFeng.xml,“老爹爹发恩德将本修上”——《宇宙锋》（赵艳荣）,dan,xipi,yuanban; sanban,曹宝荣，编著《京剧唱腔板式解读·下册》北京：人民音乐出版社，2010；第8-9页,7b5e1730-5351-44d6-bc91-fabc991cce40;5adc333c-086d-4771-9ebf-1d34a652c988;726ae2b1-4578-4db7-aca8-e1c586bb3b3b;340dfaad-1a7c-459e-b63b-a689e2c90750
daxp-MengJunZi-ChunQiuPei-1.xml,“蒙君子致殷勤再三问话”——《春秋配》（姜秋莲）,dan,xipi,yuanban,《中国京剧流派剧目集成·第贰拾集》第151-157页（北京：学苑出版社，2010）,a00666b5-07ef-40c8-8117-78b871569354
daxp-MengJunZi-ChunQiuPei-2.xml,“蒙君子至诚心再三问话”——《春秋配》（姜秋莲）,dan,xipi,yuanban,曹宝荣，编著《京剧唱腔板式解读·下册》北京：人民音乐出版社，2010；第9-11页,a00666b5-07ef-40c8-8117-78b871569354
daxp-QiaoLouShang-HuangShanLei.xml,“谯楼上二更鼓声声送听”——《荒山泪》（张慧珠）,dan,xipi,manban; yuanban,曹宝荣，编著《京剧唱腔板式解读·下册》北京：人民音乐出版社，2010；第45-50页,99d45fdf-bb4e-4339-ad90-33132972f8d7;ed2e4c26-593d-4a05-af4a-ab488bac9bcc;5a0e9586-18c9-4cd7-b456-7d1370379023;ed0038b7-4117-4d98-bb9d-736a35187832
daxp-WoZhuYe-SiLangTanMu.xml,“我主爷金沙滩早把命丧”——《四郎探母》（萧太后）,dan,xipi,manban; yaoban,曹宝荣，编著《京剧唱腔板式解读·下册》北京：人民音乐出版社，2010；第42-45页,--
daxp-XiRiLiang-LongFengChengXiang.xml,“昔日梁鸿配孟光”——《龙凤呈祥》（孙尚香）,dan,xipi,manban,《京剧曲谱集成·第七集》第137-140页（上海：上海文艺出版社，1992）,e993b1be-7efc-4c08-893a-9d7ab252dd35;1845b538-0110-48ab-b4d8-b0a63eec7d1d;0a07c955-ba2e-4dc2-aff8-c1095b138718;19c807c5-9458-4eec-9a35-ddd11bca438c;6a3595bd-3ba1-4a69-9f13-d0190fabcd28
